"X","Y","DateTime"
"959.7","679.1","235709160267"
"964.6","689.0","235709168541"
"966.6","689.6","235709176866"
"952.2","690.6","235709185159"
"952.0","681.5","235709193445"
"949.1","674.2","235709201942"
"956.2","677.7","235709210163"
"956.5","681.2","235709218441"
"956.9","689.8","235709226789"
"955.1","670.4","235709235137"
"946.7","672.3","235709243436"
"940.0","476.7","235709251793"
"928.5","471.6","235709260150"
"930.9","464.1","235709268436"
"931.3","456.3","235709276749"
"956.9","458.6","235709285132"
"956.6","460.1","235709293423"
"959.2","465.7","235709301721"
"938.0","466.6","235709310152"
"929.0","466.8","235709318443"
"927.4","460.0","235709326830"
"960.4","442.6","235709335092"
"958.1","440.7","235709343418"
"958.3","443.6","235709351710"
"952.7","447.8","235709360173"
"941.2","465.2","235709368443"
"943.6","468.0","235709376777"
"936.7","449.3","235709385160"
"942.8","449.1","235709393450"
"939.8","443.6","235709401744"
"933.2","432.0","235709410118"
"922.4","445.7","235709418465"
"921.2","446.5","235709426749"
"934.7","462.1","235709435088"
"948.9","456.9","235709443452"
"951.3","458.9","235709451749"
"942.4","457.0","235709460135"
"936.8","458.0","235709468428"
"912.6","415.9","235709476877"
"895.4","427.9","235709485104"
"895.6","427.9","235709493592"
"886.7","429.5","235709501744"
"883.2","431.2","235709510230"
"890.2","433.3","235709518379"
"894.0","436.7","235709526756"
"893.5","435.2","235709535108"
"888.7","435.2","235709543487"
"885.3","435.5","235709551793"
"879.5","441.1","235709560175"
"879.5","441.1","235709568405"
"890.5","422.5","235709576772"
"893.3","434.0","235709585072"
"890.9","432.9","235709593474"
"887.1","431.3","235709601745"
"903.1","442.5","235709610257"
"903.1","442.5","235709618521"
"913.9","420.0","235709627015"
"882.4","425.5","235709635232"
"892.7","425.8","235709643563"
"879.4","425.3","235709652053"
"897.2","428.0","235709660177"
"891.6","435.6","235709668704"
"891.5","427.5","235709676834"
"887.5","427.9","235709685111"
"887.2","428.3","235709693384"
"899.5","445.3","235709701836"
"907.3","454.2","235709718339"
"906.2","467.4","235709726726"
"923.9","504.4","235709734980"
"927.9","478.7","235709743552"
"915.4","506.9","235709751830"
"905.2","484.9","235709760071"
"905.3","485.1","235709768578"
"929.3","472.9","235709776844"
"940.0","523.3","235709785069"
"939.9","523.2","235709793586"
"941.5","506.1","235709801843"
"941.5","504.6","235709810006"
"936.4","506.7","235709818407"
"937.5","496.2","235709826733"
"930.3","472.8","235709834964"
"924.4","467.9","235709843524"
"943.5","450.0","235709851820"
"928.3","493.5","235709860087"
"928.2","493.5","235709868511"
"935.5","473.3","235709876732"
"929.6","453.1","235709885001"
"934.7","436.0","235709893419"
"909.8","439.8","235709901723"
"915.9","446.3","235709910036"
"915.9","446.4","235709918428"
"925.5","450.2","235709926621"
"921.7","451.2","235709935073"
"921.7","451.2","235709943350"
"940.4","597.1","235709951660"
"964.1","739.5","235709960142"
"964.1","802.1","235709968421"
"959.3","803.8","235709976840"
"959.4","808.0","235709985062"
"957.4","807.5","235709993380"
"959.6","783.9","235710001720"
"960.1","779.3","235710010051"
"961.5","782.5","235710018335"
"964.1","805.8","235710026726"
"969.2","782.4","235710035072"
"953.5","789.3","235710043344"
"945.5","779.5","235710051721"
"939.4","777.8","235710060083"
"963.2","783.6","235710068446"
"964.5","778.9","235710076750"
"968.3","769.8","235710085045"
"955.4","757.8","235710093385"
"958.9","769.8","235710101679"
"958.0","759.4","235710110110"
"961.1","769.8","235710118392"
"969.7","731.8","235710126702"
"951.3","733.6","235710135094"
"973.0","721.9","235710143438"
"953.5","737.0","235710151799"
"965.9","735.5","235710160025"
"966.1","745.1","235710168418"
"964.9","741.5","235710176732"
"966.2","744.9","235710185115"
"966.6","737.1","235710193381"
"976.6","743.4","235710201617"
"986.2","755.2","235710210043"
"991.7","779.0","235710218389"
"986.8","782.7","235710226716"
"988.2","790.6","235710234959"
"997.5","786.7","235710243318"
"991.5","780.0","235710251661"
"987.1","780.2","235710260017"
"983.1","784.0","235710268370"
"987.7","787.0","235710276602"
"992.2","786.3","235710285011"
"988.0","788.0","235710293358"
"983.2","783.8","235710301717"
"980.1","783.6","235710309954"
"982.9","783.7","235710318271"
"991.0","786.8","235710326640"
"986.4","780.1","235710334969"
"973.1","770.5","235710343366"
"973.3","780.5","235710351629"
"994.0","798.8","235710360034"
"998.9","800.2","235710368353"
"973.2","760.7","235710376654"
"976.4","760.2","235710385044"
"981.4","762.3","235710393308"
"993.6","769.5","235710401595"
"997.3","782.2","235710410013"
"1004.8","777.8","235710418321"
"1008.0","775.3","235710426656"
"1016.1","778.9","235710434985"
"998.8","800.7","235710443300"
"992.8","810.3","235710451639"
"974.4","828.5","235710459966"
"949.1","845.8","235710468304"
"933.4","911.0","235710476673"
"956.3","984.7","235710484954"
"948.0","963.5","235710493306"
"927.2","918.0","235710501612"
"931.3","929.8","235710509911"
"937.8","931.7","235710518277"
"939.7","934.1","235710526941"
"933.8","944.4","235710543526"
"933.2","942.2","235710551966"
"943.3","953.3","235710560045"
"932.1","916.9","235710568417"
"933.8","920.0","235710576564"
"933.9","920.0","235710585202"
"941.0","936.6","235710593513"
"950.2","943.8","235710601693"
"955.3","935.9","235710610273"
"944.5","939.2","235710618291"
"942.4","938.6","235710626623"
"943.9","932.9","235710634973"
"958.0","938.2","235710643491"
"954.5","931.6","235710651755"
"972.2","941.3","235710660112"
"971.3","946.3","235710668508"
"957.6","935.5","235710676796"
"934.5","929.9","235710685174"
"920.4","912.9","235710693488"
"915.3","908.3","235710701855"
"927.1","919.0","235710709945"
"932.0","925.0","235710718230"
"945.3","911.2","235710726759"
"955.7","890.3","235710734964"
"1003.8","802.3","235710743297"
"1016.1","695.3","235710751924"
"962.0","577.8","235710759920"
"970.2","558.6","235710768506"
"981.6","521.7","235710776741"
"981.8","521.6","235710785174"
"985.6","520.1","235710793551"
"986.8","522.4","235710801912"
"996.3","521.2","235710810128"
"983.2","529.6","235710818411"
"985.4","548.8","235710826720"
"973.5","542.9","235710835169"
"977.4","536.0","235710843337"
"977.8","534.6","235710851890"
"980.7","540.3","235710860007"
"978.3","542.8","235710868421"
"982.7","546.3","235710876859"
"978.8","536.9","235710884888"
"980.9","548.0","235710893412"
"984.1","543.8","235710901693"
"984.0","540.0","235710909915"
"980.6","538.3","235710918261"
"979.2","541.3","235710926587"
"987.7","541.6","235710935015"
"974.7","555.3","235710943385"
"974.8","551.0","235710951829"
"979.7","561.9","235710959983"
"987.8","556.3","235710968396"
"986.5","561.1","235710976789"
"983.6","556.4","235710985175"
"976.1","558.1","235710993444"
"981.0","565.6","235711001763"
"983.3","582.3","235711009952"
"984.7","563.0","235711018535"
"982.7","573.2","235711026683"
"987.9","568.1","235711035139"
"1000.1","580.4","235711043395"
"997.1","573.2","235711051696"
"987.3","563.2","235711060032"
"980.8","550.6","235711068469"
"978.6","562.0","235711076692"
"975.0","560.5","235711085112"
"976.9","560.0","235711093277"
"984.4","545.7","235711101593"
"984.4","545.7","235711109936"
"989.1","592.5","235711118183"
"989.1","592.5","235711126727"
"991.5","560.2","235711135053"
"994.0","559.3","235711143339"
"998.8","571.2","235711151778"
"989.1","583.4","235711160077"
"997.5","574.0","235711168350"
"993.0","567.7","235711176696"
"976.5","550.4","235711185060"
"976.5","550.4","235711193301"
"1012.4","556.9","235711201855"
"1057.2","541.8","235711210045"
"1057.1","540.8","235711218232"
"1056.9","544.9","235711226752"
